Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,FarePerPerson,Sex_male,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Deck_Unknown,AgeGroup_Adult,Fare_log
0,2,66.0,0,0,10.5,1,10.5,True,True,False,True,False,True,False,2.4423470353692043
0,1,28.0,1,0,82.1708,2,41.0854,True,False,False,True,False,True,True,4.420896324687287
0,1,42.0,1,0,52.0,2,26.0,True,True,False,True,False,True,True,3.970291913552122
1,3,28.0,0,0,7.2292,1,7.2292,True,False,False,True,False,True,True,2.1076888046179385
0,3,21.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,18.0,2,0,18.0,3,6.0,False,True,True,False,False,True,False,2.9444389791664403
1,3,14.0,1,0,11.2417,2,5.62085,False,False,True,False,False,True,False,2.5048481563289
0,3,40.0,1,0,9.475,2,4.7375,False,True,False,False,True,True,True,2.348991465808201
0,2,27.0,1,0,21.0,2,10.5,False,True,False,False,True,True,True,3.091042453358316
0,3,28.0,0,0,7.8958,1,7.8958,True,False,False,True,False,True,True,2.1855792552411137
1,2,3.0,1,2,41.5792,4,10.3948,False,False,True,False,False,True,False,3.7513658711253766
1,3,19.0,0,0,7.8792,1,7.8792,False,False,True,False,False,True,True,2.1837114628556327
0,3,28.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,28.0,1,0,15.5,2,7.75,True,False,False,True,False,True,True,2.803360380906535
1,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
0,3,28.0,2,0,21.6792,3,7.226400000000001,True,False,False,True,False,True,True,3.1214482048688246
0,3,18.0,1,0,17.8,2,8.9,False,True,False,False,True,True,False,2.9338568698359038
0,3,7.0,4,1,39.6875,6,6.614583333333333,True,True,False,False,False,True,False,3.705920919968788
0,3,21.0,0,0,7.8,1,7.8,True,True,False,True,False,True,True,2.174751721484161
1,1,49.0,1,0,76.7292,2,38.3646,False,False,False,False,True,False,True,4.353230991152628
1,2,29.0,1,0,26.0,2,13.0,False,True,False,False,True,True,True,3.295836866004329
0,1,65.0,0,1,61.9792,2,30.9896,True,False,False,True,False,False,False,4.142804513146981
1,1,28.0,0,0,35.5,1,35.5,True,True,False,True,False,False,True,3.597312260588446
1,2,21.0,0,0,10.5,1,10.5,False,True,True,False,False,True,True,2.4423470353692043
0,3,28.5,0,0,7.2292,1,7.2292,True,False,False,True,False,True,True,2.1076888046179385
1,2,5.0,1,2,27.75,4,6.9375,False,True,True,False,False,True,False,3.3586377672433594
0,3,11.0,5,2,46.9,8,5.8625,True,True,False,False,False,True,False,3.8691155044168695
0,3,22.0,0,0,7.2292,1,7.2292,True,False,False,True,False,True,True,2.1076888046179385
1,1,38.0,0,0,80.0,1,80.0,False,True,True,False,False,False,True,4.394449154672439
0,1,45.0,1,0,83.475,2,41.7375,True,True,False,True,False,False,True,4.436455632600354
0,3,4.0,3,2,27.9,6,4.6499999999999995,True,True,False,False,False,True,False,3.3638415951183864
0,1,28.0,0,0,27.7208,1,27.7208,True,False,False,True,False,True,True,3.357621598945279
1,3,28.0,1,1,15.2458,3,5.081933333333333,True,False,False,False,False,True,True,2.7878344138303452
1,2,29.0,0,0,10.5,1,10.5,False,True,False,False,True,False,True,2.4423470353692043
0,3,19.0,0,0,8.1583,1,8.1583,True,True,False,True,False,True,True,2.2146605719425225
1,3,17.0,4,2,7.925,7,1.1321428571428571,False,True,True,False,False,True,False,2.188856327665703
0,3,26.0,2,0,8.6625,3,2.8874999999999997,True,True,False,True,False,True,True,2.2682524139135403
0,2,32.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,3,16.0,5,2,46.9,8,5.8625,False,True,True,False,False,True,False,3.8691155044168695
0,2,21.0,0,0,73.5,1,73.5,True,True,False,True,False,True,True,4.310799125385514
0,3,26.0,1,0,14.4542,2,7.2271,True,False,False,True,False,True,True,2.737880811060884
1,3,32.0,0,0,56.4958,1,56.4958,True,True,False,True,False,True,True,4.05171190165724
0,3,25.0,0,0,7.65,1,7.65,True,True,False,True,False,False,True,2.157559320943788
0,3,28.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
0,3,28.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
1,2,0.83,0,2,29.0,3,9.666666666666666,True,True,False,False,False,True,False,3.4011973816621555
1,3,30.0,0,0,12.475,1,12.475,False,True,True,False,False,True,True,2.600836116795061
0,3,22.0,0,0,9.0,1,9.0,True,True,False,True,False,True,True,2.302585092994046
1,3,29.0,0,0,9.5,1,9.5,True,True,False,True,False,True,True,2.3513752571634776
1,3,28.0,0,0,7.7875,1,7.7875,False,False,True,False,False,True,True,2.1733302571367834
0,1,28.0,0,0,47.1,1,47.1,True,True,False,True,False,True,True,3.8732821771117156
1,2,17.0,0,0,10.5,1,10.5,False,True,True,False,False,True,False,2.4423470353692043
1,3,33.0,3,0,15.85,4,3.9625,False,True,False,False,True,True,True,2.8243506567983707
0,3,16.0,1,3,34.375,5,6.875,True,True,False,True,False,True,False,3.5660053559634015
0,3,28.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
1,1,23.0,3,2,249.00622000000035,6,41.50103666666673,False,True,True,False,False,False,True,5.521485797552746
0,3,24.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,29.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,20.0,0,0,7.8542,1,7.8542,True,True,False,True,False,True,True,2.180891922715322
0,1,46.0,1,0,61.175,2,30.5875,True,True,False,True,False,False,True,4.1299529896894684
0,3,26.0,1,2,20.575,4,5.14375,True,True,False,True,False,True,True,3.0715352369694915
0,3,59.0,0,0,7.25,1,7.25,True,True,False,True,False,True,True,2.1102132003465894
0,3,28.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,1,71.0,0,0,34.6542,1,34.6542,True,False,False,True,False,False,False,3.57386695198272
1,1,23.0,0,1,63.3583,2,31.67915,True,False,False,True,False,False,True,4.164465907853638
1,2,34.0,0,1,23.0,2,11.5,False,True,False,False,True,True,True,3.1780538303479458
0,2,34.0,1,0,26.0,2,13.0,True,True,False,True,False,True,True,3.295836866004329
0,3,28.0,0,0,7.8958,1,7.8958,False,True,True,False,False,True,True,2.1855792552411137
0,3,28.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
0,1,21.0,0,1,77.2875,2,38.64375,True,True,False,True,False,False,True,4.360387947851531
0,3,33.0,0,0,8.6542,1,8.6542,True,True,False,True,False,True,True,2.267393053825037
0,3,37.0,2,0,7.925,3,2.6416666666666666,True,True,False,True,False,True,True,2.188856327665703
0,3,28.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
1,3,21.0,0,0,7.65,1,7.65,False,True,True,False,False,True,True,2.157559320943788
1,3,28.0,0,0,7.775,1,7.775,True,True,False,True,False,True,True,2.1719067693519296
0,3,38.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
1,3,28.0,1,0,24.15,2,12.075,False,False,True,False,False,True,True,3.224857896545748
0,1,47.0,0,0,52.0,1,52.0,True,True,False,True,False,False,True,3.970291913552122
0,3,14.5,1,0,14.4542,2,7.2271,False,False,True,False,False,True,False,2.737880811060884
0,3,22.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,20.0,1,0,9.825,2,4.9125,False,True,True,False,False,True,True,2.3818582738885534
0,3,17.0,0,0,14.4583,1,14.4583,False,False,True,False,False,True,False,2.738146075922933
0,3,21.0,0,0,7.925,1,7.925,True,True,False,True,False,True,True,2.188856327665703
0,3,70.5,0,0,7.75,1,7.75,True,False,False,True,False,True,False,2.169053700369523
0,2,29.0,1,0,21.0,2,10.5,True,True,False,True,False,True,True,3.091042453358316
0,1,24.0,0,1,247.5208,2,123.7604,True,False,False,True,False,False,True,5.515526544247129
0,3,2.0,4,2,31.275,7,4.4678571428571425,False,True,True,False,False,True,False,3.4742929367327062
0,2,21.0,2,0,73.5,3,24.5,True,True,False,True,False,True,True,4.310799125385514
0,3,28.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,2,32.5,1,0,30.0708,2,15.0354,True,False,False,True,False,True,True,3.436268471383741
1,2,32.5,0,0,13.0,1,13.0,False,True,True,False,False,False,True,2.6390573296152584
0,1,54.0,0,1,77.2875,2,38.64375,True,True,False,True,False,False,True,4.360387947851531
1,3,12.0,1,0,11.2417,2,5.62085,True,False,False,False,False,True,False,2.5048481563289
0,3,28.0,0,0,7.75,1,7.75,True,False,False,True,False,True,True,2.169053700369523
1,3,24.0,0,0,7.1417,1,7.1417,True,True,False,True,False,True,True,2.0969990034181696
1,3,28.0,1,1,22.3583,3,7.452766666666666,False,False,True,False,False,False,True,3.1509523813392697
0,3,45.0,0,0,6.975,1,6.975,True,True,False,True,False,True,True,2.076311648670908
0,3,33.0,0,0,7.8958,1,7.8958,True,False,False,True,False,True,True,2.1855792552411137
0,3,20.0,0,0,7.05,1,7.05,True,True,False,True,False,True,True,2.0856720914304723
0,3,47.0,1,0,14.5,2,7.25,False,True,False,False,True,True,True,2.740840023925201
1,2,29.0,1,0,26.0,2,13.0,False,True,False,False,True,True,True,3.295836866004329
0,2,25.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
0,2,23.0,0,0,15.0458,1,15.0458,True,False,False,True,False,True,True,2.775447133088262
1,1,19.0,0,2,26.2833,3,8.7611,False,True,True,False,False,False,True,3.3062747934011893
0,1,37.0,1,0,53.1,2,26.55,True,True,False,True,False,False,True,3.9908341858524357
0,3,16.0,0,0,9.2167,1,9.2167,True,True,False,True,False,True,False,2.3240236363515288
0,1,24.0,0,0,79.2,1,79.2,True,False,False,True,False,False,True,4.384523514872469
0,3,28.0,0,2,15.2458,3,5.081933333333333,False,False,False,False,True,True,True,2.7878344138303452
1,3,22.0,0,0,7.75,1,7.75,False,True,True,False,False,True,True,2.169053700369523
1,3,24.0,1,0,15.85,2,7.925,False,True,False,False,True,True,True,2.8243506567983707
0,3,19.0,0,0,6.75,1,6.75,True,False,False,True,False,True,True,2.0476928433652555
0,2,18.0,0,0,11.5,1,11.5,True,True,False,True,False,True,False,2.5257286443082556
0,2,19.0,1,1,36.75,3,12.25,True,True,False,True,False,True,True,3.6309854756950335
1,3,27.0,0,0,7.7958,1,7.7958,True,True,False,True,False,True,True,2.174274334826008
0,3,9.0,2,2,34.375,5,6.875,False,True,True,False,False,True,False,3.5660053559634015
0,2,36.5,0,2,26.0,3,8.666666666666666,True,True,False,True,False,False,True,3.295836866004329
0,2,42.0,0,0,13.0,1,13.0,True,True,False,False,False,True,True,2.6390573296152584
0,2,51.0,0,0,12.525,1,12.525,True,True,False,False,False,True,True,2.6045398247325453
1,1,22.0,1,0,66.6,2,33.3,False,True,False,False,True,False,True,4.213607983048918
0,3,55.5,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,40.5,0,2,14.5,3,4.833333333333333,True,True,False,True,False,True,True,2.740840023925201
0,3,28.0,0,0,7.3125,1,7.3125,True,True,False,True,False,True,True,2.1177604059819726
0,1,51.0,0,1,61.3792,2,30.6896,True,False,False,True,False,True,True,4.133231886474144
1,3,16.0,0,0,7.7333,1,7.7333,False,False,True,False,False,True,False,2.167143305297764
0,3,30.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,28.0,0,0,8.6625,1,8.6625,True,True,False,True,False,True,True,2.2682524139135403
0,3,28.0,8,2,69.55,11,6.322727272727272,True,True,False,False,False,True,True,4.256321678298823
0,3,44.0,0,1,16.1,2,8.05,True,True,False,True,False,True,True,2.8390784635086144
1,2,40.0,0,0,15.75,1,15.75,False,True,False,False,True,True,True,2.8183982582710754
0,3,26.0,0,0,7.775,1,7.775,True,True,False,True,False,True,True,2.1719067693519296
0,3,17.0,0,0,8.6625,1,8.6625,True,True,False,True,False,True,False,2.2682524139135403
0,3,1.0,4,1,39.6875,6,6.614583333333333,True,True,False,False,False,True,False,3.705920919968788
1,3,9.0,0,2,20.525,3,6.841666666666666,True,True,False,False,False,True,False,3.0692150503137943
1,1,28.0,0,1,55.0,2,27.5,False,True,False,False,True,False,True,4.02535169073515
0,3,45.0,1,4,27.9,6,4.6499999999999995,False,True,False,False,True,True,True,3.3638415951183864
0,1,28.0,0,0,25.925,1,25.925,True,True,False,True,False,True,True,3.2930552230424524
0,3,28.0,0,0,56.4958,1,56.4958,True,True,False,True,False,True,True,4.05171190165724
0,1,61.0,0,0,33.5,1,33.5,True,True,False,True,False,False,False,3.5409593240373143
0,3,4.0,4,1,29.125,6,4.854166666666667,True,False,False,False,False,True,False,3.405355391810819
1,3,1.0,1,1,11.1333,3,3.7111,False,True,True,False,False,True,False,2.495953738718064
0,3,21.0,0,0,7.925,1,7.925,True,True,False,True,False,True,True,2.188856327665703
0,1,56.0,0,0,30.6958,1,30.6958,True,False,False,True,False,False,True,3.4561841799918147
0,3,18.0,1,1,7.8542,3,2.6180666666666665,True,True,False,True,False,True,False,2.180891922715322
0,3,28.0,3,1,25.4667,5,5.0933399999999995,True,True,False,False,False,True,True,3.275887339030031
0,1,50.0,0,0,28.7125,1,28.7125,False,False,True,False,False,False,True,3.391567832686312
0,2,30.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
0,3,36.0,0,0,0.0,1,0.0,True,True,False,True,False,True,True,0.0
0,3,28.0,8,2,69.55,11,6.322727272727272,False,True,True,False,False,True,True,4.256321678298823
0,2,28.0,0,0,15.05,1,15.05,True,False,False,True,False,True,True,2.775708849576025
0,3,9.0,4,2,31.3875,7,4.483928571428572,True,True,False,False,False,True,False,3.4777725458882283
1,2,1.0,2,1,39.0,4,9.75,True,True,False,False,False,False,False,3.6888794541139363
1,3,4.0,0,2,22.025,3,7.341666666666666,False,True,True,False,False,True,False,3.1365805821413706
0,1,28.0,0,0,50.0,1,50.0,True,True,False,True,False,False,True,3.9318256327243257
1,3,28.0,1,0,15.5,2,7.75,False,False,False,False,True,True,True,2.803360380906535
1,1,45.0,0,0,26.55,1,26.55,True,True,False,True,False,True,True,3.3160025355989236
0,3,40.0,1,1,15.5,3,5.166666666666667,True,False,False,True,False,True,True,2.803360380906535
0,3,36.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
1,2,32.0,0,0,13.0,1,13.0,False,True,False,False,True,True,True,2.6390573296152584
0,2,19.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
1,3,19.0,1,0,7.8542,2,3.9271,False,True,True,False,False,True,True,2.180891922715322
1,2,3.0,1,1,26.0,3,8.666666666666666,True,True,False,False,False,False,False,3.295836866004329
1,1,44.0,0,0,27.7208,1,27.7208,False,False,False,False,True,False,True,3.357621598945279
1,1,58.0,0,0,146.5208,1,146.5208,False,False,True,False,False,False,True,4.993969182787072
0,3,28.0,0,0,7.75,1,7.75,True,False,False,True,False,True,True,2.169053700369523
0,3,42.0,0,1,8.4042,2,4.2021,True,True,False,True,False,True,True,2.2411563979973974
1,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
0,2,24.0,0,0,13.0,1,13.0,False,True,True,False,False,True,True,2.6390573296152584
0,3,28.0,0,0,9.5,1,9.5,True,True,False,True,False,True,True,2.3513752571634776
0,3,28.0,8,2,69.55,11,6.322727272727272,True,True,False,True,False,True,True,4.256321678298823
0,3,34.0,0,0,6.4958,1,6.4958,True,True,False,True,False,True,True,2.0143428636837015
0,3,45.5,0,0,7.225,1,7.225,True,False,False,True,False,True,True,2.1071782966514356
1,3,18.0,0,0,8.05,1,8.05,True,True,False,True,False,True,False,2.2027647577118348
0,3,2.0,0,1,10.4625,2,5.23125,False,True,True,False,False,False,False,2.4390808375825834
0,3,32.0,1,0,15.85,2,7.925,True,True,False,True,False,True,True,2.8243506567983707
1,3,26.0,0,0,18.7875,1,18.7875,True,False,False,True,False,True,True,2.9850504252071306
1,3,16.0,0,0,7.75,1,7.75,False,False,True,False,False,True,False,2.169053700369523
1,1,40.0,0,0,31.0,1,31.0,True,False,False,True,False,False,True,3.4657359027997265
0,3,24.0,0,0,7.05,1,7.05,True,True,False,True,False,True,True,2.0856720914304723
1,2,35.0,0,0,21.0,1,21.0,False,True,True,False,False,True,True,3.091042453358316
0,3,22.0,0,0,7.25,1,7.25,True,True,False,True,False,True,True,2.1102132003465894
0,2,30.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
0,3,28.0,1,0,7.75,2,3.875,True,False,False,True,False,True,True,2.169053700369523
1,1,31.0,1,0,113.275,2,56.6375,False,False,True,False,False,False,True,4.738607824217808
1,3,27.0,0,0,7.925,1,7.925,False,True,True,False,False,True,True,2.188856327665703
0,2,42.0,1,0,27.0,2,13.5,True,True,False,True,False,True,True,3.332204510175204
1,1,32.0,0,0,76.2917,1,76.2917,False,False,True,False,False,False,True,4.347586575960343
0,2,30.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
1,3,16.0,0,0,8.05,1,8.05,True,True,False,True,False,True,False,2.2027647577118348
0,2,27.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
0,3,51.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,3,28.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
1,1,38.0,1,0,90.0,2,45.0,True,True,False,True,False,False,True,4.51085950651685
0,3,22.0,0,0,9.35,1,9.35,True,True,False,True,False,True,True,2.336986519711378
1,2,19.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,3,20.5,0,0,7.25,1,7.25,True,True,False,True,False,True,True,2.1102132003465894
0,2,18.0,0,0,13.0,1,13.0,True,True,False,True,False,True,False,2.6390573296152584
0,3,28.0,3,1,25.4667,5,5.0933399999999995,False,True,True,False,False,True,True,3.275887339030031
1,1,35.0,1,0,83.475,2,41.7375,False,True,False,False,True,False,True,4.436455632600354
0,3,29.0,0,0,7.775,1,7.775,True,True,False,True,False,True,True,2.1719067693519296
0,2,59.0,0,0,13.5,1,13.5,True,True,False,True,False,True,True,2.6741486494265287
1,3,5.0,4,2,31.3875,7,4.483928571428572,False,True,True,False,False,True,False,3.4777725458882283
0,2,24.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,3,28.0,0,0,7.55,1,7.55,False,True,True,False,False,True,True,2.145931282948669
0,2,44.0,1,0,26.0,2,13.0,True,True,False,True,False,True,True,3.295836866004329
1,2,8.0,0,2,26.25,3,8.75,False,True,True,False,False,True,False,3.305053521109253
0,2,19.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,2,33.0,0,0,12.275,1,12.275,True,True,False,True,False,True,True,2.5858825671280026
0,3,28.0,1,0,14.4542,2,7.2271,False,False,True,False,False,True,True,2.737880811060884
1,3,28.0,1,0,15.5,2,7.75,False,False,True,False,False,True,True,2.803360380906535
0,2,29.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,3,22.0,0,0,7.125,1,7.125,True,True,False,True,False,True,True,2.094945728215801
0,3,30.0,0,0,7.225,1,7.225,True,False,False,True,False,True,True,2.1071782966514356
0,1,44.0,2,0,90.0,3,30.0,True,False,False,False,False,False,True,4.51085950651685
0,3,25.0,0,0,7.775,1,7.775,False,True,True,False,False,True,True,2.1719067693519296
1,2,24.0,0,2,14.5,3,4.833333333333333,False,True,False,False,True,True,True,2.740840023925201
1,1,37.0,1,1,52.5542,3,17.518066666666666,True,True,False,True,False,False,True,3.9806942251907276
0,2,54.0,1,0,26.0,2,13.0,True,True,False,False,False,True,True,3.295836866004329
0,3,28.0,0,0,7.25,1,7.25,True,True,False,True,False,True,True,2.1102132003465894
0,3,29.0,1,1,10.4625,3,3.4875000000000003,False,True,False,False,True,False,True,2.4390808375825834
0,1,62.0,0,0,26.55,1,26.55,True,True,False,True,False,False,False,3.3160025355989236
0,3,30.0,1,0,16.1,2,8.05,True,True,False,True,False,True,True,2.8390784635086144
0,3,41.0,0,2,20.2125,3,6.7375,False,True,False,False,True,True,True,3.0545906305603445
1,3,29.0,0,2,15.2458,3,5.081933333333333,False,False,False,False,True,True,True,2.7878344138303452
1,1,28.0,0,0,79.2,1,79.2,False,False,False,False,True,True,True,4.384523514872469
1,1,30.0,0,0,86.5,1,86.5,False,True,True,False,False,False,True,4.471638793363569
1,1,35.0,0,0,249.00622000000035,1,249.00622000000035,False,False,True,False,False,True,True,5.521485797552746
1,2,50.0,0,1,26.0,2,13.0,False,True,False,False,True,True,True,3.295836866004329
0,3,28.0,0,0,7.75,1,7.75,True,False,False,True,False,True,True,2.169053700369523
1,3,3.0,4,2,31.3875,7,4.483928571428572,True,True,False,False,False,True,False,3.4777725458882283
0,1,52.0,1,1,79.65,3,26.55,True,True,False,True,False,False,True,4.390118804571218
0,1,40.0,0,0,0.0,1,0.0,True,True,False,True,False,False,True,0.0
0,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
0,2,36.0,0,0,10.5,1,10.5,True,True,False,True,False,True,True,2.4423470353692043
0,3,16.0,4,1,39.6875,6,6.614583333333333,True,True,False,True,False,True,False,3.705920919968788
1,3,25.0,1,0,7.775,2,3.8875,True,True,False,True,False,True,True,2.1719067693519296
1,1,58.0,0,1,153.4625,2,76.73125,False,True,False,False,True,False,True,5.039951348430309
1,1,35.0,0,0,135.6333,1,135.6333,False,True,True,False,False,False,True,4.91730069488021
0,1,28.0,0,0,31.0,1,31.0,True,True,False,True,False,True,True,3.4657359027997265
1,3,25.0,0,0,0.0,1,0.0,True,True,False,True,False,True,True,0.0
1,2,41.0,0,1,19.5,2,9.75,False,True,False,False,True,True,True,3.0204248861443626
0,1,37.0,0,1,29.7,2,14.85,True,False,False,True,False,False,True,3.4242626545931514
1,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
1,1,63.0,1,0,77.9583,2,38.97915,False,True,True,False,False,False,False,4.368919865004903
0,3,45.0,0,0,7.75,1,7.75,False,True,True,False,False,True,True,2.169053700369523
0,2,28.0,0,0,0.0,1,0.0,True,True,False,True,False,True,True,0.0
0,3,7.0,4,1,29.125,6,4.854166666666667,True,False,False,False,False,True,False,3.405355391810819
1,3,35.0,1,1,20.25,3,6.75,False,True,False,False,True,True,True,3.056356895370426
0,3,65.0,0,0,7.75,1,7.75,True,False,False,True,False,True,False,2.169053700369523
0,3,28.0,0,0,7.8542,1,7.8542,True,True,False,True,False,True,True,2.180891922715322
0,3,16.0,0,0,9.5,1,9.5,True,True,False,True,False,True,False,2.3513752571634776
1,3,19.0,0,0,8.05,1,8.05,True,True,False,True,False,True,True,2.2027647577118348
0,1,28.0,0,0,26.0,1,26.0,True,True,False,True,False,False,True,3.295836866004329
0,3,33.0,0,0,8.6625,1,8.6625,True,False,False,True,False,True,True,2.2682524139135403
1,3,30.0,0,0,9.5,1,9.5,True,True,False,True,False,True,True,2.3513752571634776
0,3,22.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
1,2,42.0,0,0,13.0,1,13.0,True,True,False,True,False,True,True,2.6390573296152584
1,3,22.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
1,1,26.0,0,0,78.85,1,78.85,False,True,True,False,False,True,True,4.380149874661021
1,1,19.0,1,0,91.0792,2,45.5396,False,False,False,False,True,False,True,4.5226490762785785
0,2,36.0,0,0,12.875,1,12.875,True,False,False,True,False,False,True,2.630088659632498
0,3,24.0,0,0,8.85,1,8.85,False,True,True,False,False,True,True,2.2874714551839976
0,3,24.0,0,0,7.8958,1,7.8958,True,True,False,True,False,True,True,2.1855792552411137
0,1,28.0,0,0,27.7208,1,27.7208,True,False,False,True,False,True,True,3.357621598945279
0,3,23.5,0,0,7.2292,1,7.2292,True,False,False,True,False,True,True,2.1076888046179385
0,1,2.0,1,2,151.55,4,37.8875,False,True,True,False,False,False,False,5.027492411162679
1,1,28.0,0,0,30.5,1,30.5,True,True,False,True,False,False,True,3.449987545831587
1,1,50.0,0,1,247.5208,2,123.7604,False,False,False,False,True,False,True,5.515526544247129
1,3,28.0,0,0,7.75,1,7.75,False,False,True,False,False,True,True,2.169053700369523
